bee_taxon,bee_group_or_common_name,family,genus,rank,all_interaction_rows,source_backed_rows,bee_plant_rows,unique_plants,best_local_support,min_distance_mi,garden_action
Andrena senticulosa,mining bee,Andrenidae,Andrena,species,5,5,5,2,≤50 mi from Kyle coordinate,49.1,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena trapezoidea,mining bee,Andrenidae,Andrena,species,14,14,10,1,regional locality text,102.0,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena unicostata,mining bee,Andrenidae,Andrena,species,8,8,8,1,regional locality text,59.6,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena verecunda,mining bee,Andrenidae,Andrena,species,10,10,8,2,Hays-core locality text,24.5,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrenidae,mining bee family,Andrenidae,,family,2,2,0,0,≤25 mi from Kyle coordinate,8.9,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Anthidiellum notatum,"leafcutter, mason, resin, and carder bee family",Megachilidae,Anthidiellum,species,2,2,2,1,≤50 mi from Kyle coordinate,48.8,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Anthidium maculifrons,wool carder bee,Megachilidae,Anthidium,species,4,4,4,2,≤50 mi from Kyle coordinate,43.3,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Anthidium palmarum,wool carder bee,Megachilidae,Anthidium,species,80,80,80,4,≤150 mi from Kyle coordinate,97.8,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Anthidium porterae,wool carder bee,Megachilidae,Anthidium,species,2,2,2,2,≤150 mi from Kyle coordinate,53.8,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Anthidium psoraleae,wool carder bee,Megachilidae,Anthidium,species,3,3,3,1,≤150 mi from Kyle coordinate,53.8,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Anthophila,bee,,,unknown,7,7,2,1,≤25 mi from Kyle coordinate,7.3,Plant a mix of locally native flowers recorded with this bee. Protect nesting habitat and keep pesticide use low.
Anthophora abrupta,digger bee,Apidae,Anthophora,species,1,1,0,0,≤150 mi from Kyle coordinate,54.2,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Anthophora affabilis,digger bee,Apidae,Anthophora,species,30,30,30,2,≤50 mi from Kyle coordinate,44.5,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Anthophora californica,digger bee,Apidae,Anthophora,species,86,86,84,14,≤25 mi from Kyle coordinate,12.0,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Anthophora capistrata,digger bee,Apidae,Anthophora,species,2,2,2,1,≤50 mi from Kyle coordinate,27.8,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Anthophora urbana,digger bee,Apidae,Anthophora,species,1,1,1,1,uncertain/outside local filter,186.7,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Anthophorula completa,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Anthophorula,species,17,17,17,1,uncertain/outside local filter,178.4,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Anthophorula micheneri,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Anthophorula,species,103,103,103,1,regional locality text,50.6,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Anthophorula morgani,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Anthophorula,species,2,2,2,1,≤150 mi from Kyle coordinate,95.9,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Anthophorula texana,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Anthophorula,species,2,2,2,1,≤25 mi from Kyle coordinate,19.4,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Apidae,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,,family,5,5,4,3,≤150 mi from Kyle coordinate,118.5,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Apis,honey bee,Apidae,Apis,genus,4,4,1,1,≤25 mi from Kyle coordinate,8.0,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Apis mellifera,honey bee,Apidae,Apis,species,103,103,35,22,≤25 mi from Kyle coordinate,8.3,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Ashmeadiella,"leafcutter, mason, resin, and carder bee family",Megachilidae,Ashmeadiella,genus,17,17,13,3,regional locality text,84.4,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Ashmeadiella bucconis,"leafcutter, mason, resin, and carder bee family",Megachilidae,Ashmeadiella,species,1,1,1,1,regional locality text,75.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Ashmeadiella maxima,"leafcutter, mason, resin, and carder bee family",Megachilidae,Ashmeadiella,species,1,1,0,0,uncertain/outside local filter,181.0,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Ashmeadiella meliloti meliloti,"leafcutter, mason, resin, and carder bee family",Megachilidae,Ashmeadiella,subspecies,1,1,1,1,uncertain/outside local filter,180.2,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Atoposmia maryae,"leafcutter, mason, resin, and carder bee family",Megachilidae,Atoposmia,species,2,2,2,1,uncertain/outside local filter,180.2,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Augochlorella,green sweat bee,Halictidae,Augochlorella,genus,6,6,6,4,≤50 mi from Kyle coordinate,39.2,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Augochlorella aurata,green sweat bee,Halictidae,Augochlorella,species,3,3,3,2,≤50 mi from Kyle coordinate,48.4,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Augochlorella bracteata,green sweat bee,Halictidae,Augochlorella,species,2,2,2,2,≤150 mi from Kyle coordinate,95.9,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Augochlorella karankawa,green sweat bee,Halictidae,Augochlorella,species,10,10,6,3,≤50 mi from Kyle coordinate,39.2,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Augochlorella striata,green sweat bee,Halictidae,Augochlorella,species,2,2,0,0,regional locality text,102.0,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Augochloropsis,sweat bee family,Halictidae,Augochloropsis,genus,34,34,30,8,≤25 mi from Kyle coordinate,20.4,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Augochloropsis metallica,sweat bee family,Halictidae,Augochloropsis,species,12,12,12,3,≤25 mi from Kyle coordinate,21.9,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Bombus,bumble bee,Apidae,Bombus,genus,1,1,0,0,≤50 mi from Kyle coordinate,31.2,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Bombus fraternus,bumble bee,Apidae,Bombus,species,11,11,5,3,≤25 mi from Kyle coordinate,20.8,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Bombus pensylvanicus,bumble bee,Apidae,Bombus,species,159,159,71,38,≤25 mi from Kyle coordinate,2.1,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Bombus pensylvanicus pensylvanicus,bumble bee,Apidae,Bombus,subspecies,9,9,8,5,≤50 mi from Kyle coordinate,49.1,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Bombus sonorus,bumble bee,Apidae,Bombus,species,69,69,29,20,≤25 mi from Kyle coordinate,9.3,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Callandrena,mining bee,Andrenidae,Andrena,subgenus,2,2,2,1,≤50 mi from Kyle coordinate,26.7,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Calliopsis,mining bee,Andrenidae,Calliopsis,genus,6,6,6,1,≤150 mi from Kyle coordinate,58.4,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Calliopsis callops,mining bee,Andrenidae,Calliopsis,species,1,1,1,1,uncertain/outside local filter,180.2,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Calliopsis granti,mining bee,Andrenidae,Calliopsis,species,1,1,1,1,regional locality text,75.7,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Calliopsis michenerella,mining bee,Andrenidae,Calliopsis,species,21,21,21,1,uncertain/outside local filter,156.7,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Calliopsis micheneri,mining bee,Andrenidae,Calliopsis,species,1,1,1,1,uncertain/outside local filter,156.7,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Calliopsis rozeni,mining bee,Andrenidae,Calliopsis,species,2,2,0,0,≤150 mi from Kyle coordinate,97.8,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Calliopsis subalpina,mining bee,Andrenidae,Calliopsis,species,12,12,11,1,≤150 mi from Kyle coordinate,67.8,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Centris atripes,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Centris,species,83,83,72,4,≤25 mi from Kyle coordinate,23.7,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Ceratina cobaltina,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Ceratina,species,6,6,6,5,≤25 mi from Kyle coordinate,20.8,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Ceratina diodonta,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Ceratina,species,1,1,0,0,≤50 mi from Kyle coordinate,43.3,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Chalicodoma (Chelostomoides),"leafcutter, mason, resin, and carder bee family",Megachilidae,Chalicodoma,unknown,43,43,43,2,≤50 mi from Kyle coordinate,43.3,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Coelioxys alternatus,cuckoo leafcutter bee,Megachilidae,Coelioxys,species,1,1,1,1,regional locality text,84.4,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Coelioxys apacheorum,cuckoo leafcutter bee,Megachilidae,Coelioxys,species,1,1,1,1,regional locality text,75.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Coelioxys edita,cuckoo leafcutter bee,Megachilidae,Coelioxys,species,8,8,6,1,≤50 mi from Kyle coordinate,32.9,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Coelioxys immaculatus,cuckoo leafcutter bee,Megachilidae,Coelioxys,species,4,4,4,1,≤50 mi from Kyle coordinate,43.3,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Coelioxys novomexicanus,cuckoo leafcutter bee,Megachilidae,Coelioxys,species,1,1,1,1,uncertain/outside local filter,169.8,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Coelioxys texana,cuckoo leafcutter bee,Megachilidae,Coelioxys,species,36,36,17,5,≤25 mi from Kyle coordinate,24.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Colletes,cellophane/plasterer bee,Colletidae,Colletes,genus,5,5,5,1,regional locality text,59.6,Plant a mix of locally native flowers recorded with this bee. Many line nest cells with a waterproof material; several nest in soil or stems. Avoid over-managing every nesting edge.
Colletes birkmanni,cellophane/plasterer bee,Colletidae,Colletes,species,4,4,4,2,≤50 mi from Kyle coordinate,32.9,Plant a mix of locally native flowers recorded with this bee. Many line nest cells with a waterproof material; several nest in soil or stems. Avoid over-managing every nesting edge.
Colletes bumeliae,cellophane/plasterer bee,Colletidae,Colletes,species,3,3,3,1,≤50 mi from Kyle coordinate,36.9,Plant a mix of locally native flowers recorded with this bee. Many line nest cells with a waterproof material; several nest in soil or stems. Avoid over-managing every nesting edge.
Colletes inuncantipedis,cellophane/plasterer bee,Colletidae,Colletes,species,1,1,1,1,≤50 mi from Kyle coordinate,35.0,Plant a mix of locally native flowers recorded with this bee. Many line nest cells with a waterproof material; several nest in soil or stems. Avoid over-managing every nesting edge.
Colletes thoracicus,cellophane/plasterer bee,Colletidae,Colletes,species,9,9,9,1,regional locality text,59.6,Plant a mix of locally native flowers recorded with this bee. Many line nest cells with a waterproof material; several nest in soil or stems. Avoid over-managing every nesting edge.
Conanthalictus bakeri,sweat bee family,Halictidae,Conanthalictus,species,2,2,2,2,≤25 mi from Kyle coordinate,20.8,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Diadasia afflicta,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Diadasia,species,53,53,39,2,≤50 mi from Kyle coordinate,34.7,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Diadasia australis,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Diadasia,species,2,2,1,1,≤150 mi from Kyle coordinate,52.0,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Diadasia diminuta,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Diadasia,species,8,8,8,3,≤150 mi from Kyle coordinate,58.4,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Diadasia enavata,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Diadasia,species,10,10,8,2,≤50 mi from Kyle coordinate,32.9,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Diadasia rinconis,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Diadasia,species,102,102,47,9,≤25 mi from Kyle coordinate,15.3,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Dialictus,sweat bee family,Halictidae,Dialictus,genus,2,2,0,0,≤50 mi from Kyle coordinate,32.9,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Dianthidium curvatum,carder/mason bee,Megachilidae,Dianthidium,species,2,2,0,0,≤50 mi from Kyle coordinate,42.5,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Dianthidium simile,carder/mason bee,Megachilidae,Dianthidium,species,1,1,1,1,regional locality text,75.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Dianthidium texanum,carder/mason bee,Megachilidae,Dianthidium,species,8,8,8,1,≤25 mi from Kyle coordinate,15.3,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Dieunomia apacha,sweat bee,Halictidae,Dieunomia,species,22,22,22,2,≤150 mi from Kyle coordinate,83.5,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Epeolus bifasciatus,cuckoo bee,Apidae,Epeolus,species,1,1,1,1,≤150 mi from Kyle coordinate,69.7,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Eucera belfragei,long-horned bee,Apidae,Eucera,species,6,6,6,1,≤150 mi from Kyle coordinate,130.6,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Eucera chrysobotryae,long-horned bee,Apidae,Eucera,species,1,1,1,1,≤50 mi from Kyle coordinate,44.5,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Eucerini,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,,tribe,1,1,0,0,≤50 mi from Kyle coordinate,25.3,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Exomalopsis,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Exomalopsis,genus,3,3,3,1,≤150 mi from Kyle coordinate,138.4,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Exomalopsis solani,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Exomalopsis,species,5,5,5,2,≤50 mi from Kyle coordinate,32.9,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Florilegus condignus,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Florilegus,species,10,10,0,0,≤25 mi from Kyle coordinate,23.6,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
